"s_x1","s_x2","s_x3","s_x4","s_x5","s_x6","s_x7","s_x8","s_x9","s_x10","s_x11","s_x12","s_x13","s_x14","s_x15","s_y","s_y2",
0,0,0,0,0,0.9475,25.6944,0,245,245,245,245,245,245,245,64,-42,
-0.032653,0,0,0,0,,25.6944,-0.010211,244.9733,244.9855,244.99,244.9924,244.9969,244.9984,244.9989,,,
-0.27356,-0.30612,0,0,0,,25.6944,-0.10157,244.7322,244.8517,244.8975,244.9217,244.9676,244.9836,244.989,,,
0.30297,0.028581,0,0,0,,25.6944,-0.058799,244.8181,244.8769,244.9091,244.9282,244.9685,244.9837,244.989,,,
-0.4041,-0.10235,0,0,0,,25.6944,-0.15488,244.5454,244.7174,244.7954,244.8398,244.9305,244.9642,244.9759,,,
0,-0.4041,-0.40816,0,0,,25.6944,-0.20624,244.3636,244.587,244.696,244.7598,244.894,244.9451,244.963,,,
0,0,-0.37563,0,0,,25.6944,-0.22641,244.2424,244.4803,244.609,244.6874,244.8589,244.9264,244.9503,,,
-0.020492,-0.020492,-0.12282,0,0,,25.6944,-0.23184,244.1449,244.3839,244.5266,244.6172,244.8233,244.9071,244.937,,,
0,-0.020492,-0.42451,0,0,,25.6944,-0.22083,244.08,244.305,244.4545,244.5537,244.789,244.8881,244.9239,,,
0,0,-0.020492,0,0,,25.6944,-0.19959,244.0366,244.2404,244.3915,244.4962,244.7561,244.8696,244.911,,,
-0.14347,-0.14347,-0.16393,-0.57143,0,,25.6944,-0.21728,243.8911,244.124,244.2925,244.4108,244.7108,244.8444,244.8937,,,
0,-0.14347,-0.16393,-0.53895,0,,25.6944,-0.21326,243.7941,244.0287,244.206,244.3336,244.6672,244.8198,244.8765,,,
0,0,-0.14347,-0.26612,0,,25.6944,-0.19537,243.7294,243.9508,244.1302,244.2637,244.6254,244.7956,244.8596,,,
0,0,-0.14347,-0.56737,0,,25.6944,-0.16927,243.6863,243.887,244.064,244.2005,244.5852,244.772,244.8429,,,
0,0,-0.14347,-0.16393,0,,25.6944,-0.13902,243.6575,243.8348,244.006,244.1433,244.5465,244.7487,244.8265,,,
0,0,0,-0.16393,0,,26.4286,-0.10742,243.6383,243.7921,243.9552,244.0916,244.5094,244.726,244.8102,,,
0,0,0,-0.16393,0,,34.7418,-0.076396,243.6256,243.7572,243.9108,244.0448,244.4738,244.7037,244.7942,,,
0,0,0,-0.14347,0,,0,-0.047183,243.617,243.7286,243.872,244.0024,244.4395,244.6818,244.7784,,,
0,0,0,-0.14347,0,,0,-0.02053,243.6114,243.7052,243.838,243.9641,244.4066,244.6604,244.7628,,,
0,0,0,-0.14347,0,,0,0.0031691,243.6076,243.6861,243.8082,243.9294,244.3749,244.6394,244.7474,,,
0,0,0,0,0,,0,0.023767,243.605,243.6704,243.7822,243.898,244.3445,244.6188,244.7322,,,
0.012315,0.012315,0.012315,0.012315,0,,7.8947,0.045116,243.6134,243.6631,243.7632,243.8725,244.3165,244.5993,244.7176,,,
0,0.012315,0.012315,0.012315,0,,7.8947,0.061885,243.6189,243.6571,243.7465,243.8494,244.2896,244.5801,244.7032,,,
0.15187,0.15187,0.1642,0.1642,0,,53.3333,0.12199,243.7459,243.7194,243.7782,243.8638,244.2782,244.5686,244.6939,,,
0,0.15187,0.1642,0.1642,0,,100,0.1586,243.8306,243.7704,243.8059,243.8767,244.2673,244.5573,244.6847,,,
0,0,0.1642,0.1642,0,,100,0.1782,243.8871,243.8122,243.8302,243.8885,244.2569,244.5463,244.6756,,,
0,0,0.15187,0.1642,0,,100,0.18572,243.9247,243.8463,243.8514,243.8991,244.2468,244.5355,244.6667,,,
-0.12295,-0.12295,0.028732,0.041051,0,,57.1429,0.14654,243.8498,243.8197,243.8325,243.8801,244.2253,244.5189,244.6539,,,
0,-0.12295,-0.12295,0.041051,0,,57.1429,0.11811,243.7999,243.798,243.8159,243.863,244.2047,244.5027,244.6412,,,
0.14772,0.14772,0.02459,0.18883,0,,71.6981,0.14359,243.8866,243.8456,243.8464,243.8817,244.1991,244.4939,244.6335,,,
2.4215,2.5728,2.4467,2.6149,2.0286,,95.6958,0.90957,245.9144,244.9591,244.6119,244.4616,244.4254,244.6024,244.7042,,,
-1.8322,0.54495,0.56967,0.72241,0.1919,,57.7489,0.75856,245.7396,245.0375,244.7091,244.55,244.4632,244.618,244.7133,,,
0,-1.8322,0.69348,0.72241,0.46673,,57.7489,0.62356,245.6231,245.1016,244.7943,244.63,244.4995,244.6333,244.7222,,,
0,0,0.69348,0.56967,0.16327,,57.7489,0.50424,245.5454,245.154,244.8687,244.7024,244.5345,244.6482,244.7311,,,
0,0,0.54495,0.56967,0.56967,,57.7489,0.39986,245.4936,245.1969,244.9339,244.7679,244.568,244.6629,244.7398,,,
